"id","created_at","updated_at","name","primary","secondary","rank","role","tournament_id","user_id","team_id","is_substitution","related_player_id","div","is_newcomer","is_newcomer_role"
"93","2025-07-20 21:39:51.032657+00",NULL,"Ducky#21942",False,True,1800,"support","1","22","19",False,NULL,3,True,True
"94","2025-07-20 21:39:51.043427+00",NULL,"ANGRYREY#2438",False,True,600,"damage","1","78","19",False,NULL,15,True,True
"95","2025-07-20 21:39:51.049545+00",NULL,"Steud#2665",False,False,1400,"tank","1","38","19",False,NULL,7,True,True
"96","2025-07-20 21:39:51.055795+00",NULL,"Bratwurstfan#21785",False,False,1100,"damage","1","63","19",False,NULL,10,True,True
"97","2025-07-20 21:39:51.061975+00",NULL,"Sesnau#2901",False,False,600,"support","1","48","19",False,NULL,15,True,True
"98","2025-07-20 21:39:51.072038+00",NULL,"CraazzzyyFox#2130",False,False,1600,"damage","1","1","20",False,NULL,5,True,True
"99","2025-07-20 21:39:51.077519+00",NULL,"BaseAndCo#2842",False,False,300,"tank","1","44","20",False,NULL,18,True,True
"100","2025-07-20 21:39:51.083677+00",NULL,"малая#21221",False,False,1000,"damage","1","50","20",False,NULL,11,True,True
"101","2025-07-20 21:39:51.089693+00",NULL,"marmeladka#21557",False,False,1400,"support","1","92","20",False,NULL,7,True,True
"102","2025-07-20 21:39:51.095125+00",NULL,"AnyCost#2261",False,False,1200,"support","1","88","20",False,NULL,9,True,True
"103","2025-07-20 21:39:51.104943+00",NULL,"Wisparian#2636",True,False,1800,"support","1","25","21",False,NULL,3,True,True
"104","2025-07-20 21:39:51.110535+00",NULL,"Зайчонок#21109",False,False,600,"tank","1","24","21",False,NULL,15,True,True
"105","2025-07-20 21:39:51.116026+00",NULL,"Kisylia#2201",False,False,1200,"support","1","40","21",False,NULL,9,True,True
"106","2025-07-20 21:39:51.121433+00",NULL,"shavarnadze#2451",False,False,1100,"damage","1","34","21",False,NULL,10,True,True
"107","2025-07-20 21:39:51.127453+00",NULL,"Flank#21295",False,False,800,"damage","1","3","21",False,NULL,13,True,True
"108","2025-07-20 21:39:51.137114+00",NULL,"DemonDimon#2279",False,False,1500,"damage","1","28","22",False,NULL,6,True,True
"109","2025-07-20 21:39:51.142523+00",NULL,"Sliming#21913",False,False,400,"tank","1","69","22",False,NULL,17,True,True
"110","2025-07-20 21:39:51.148354+00",NULL,"mortred#22936",True,False,1000,"damage","1","42","22",False,NULL,11,True,True
"111","2025-07-20 21:39:51.154067+00",NULL,"Miracle#22353",False,True,1400,"support","1","87","22",False,NULL,7,True,True
"112","2025-07-20 21:39:51.15962+00",NULL,"ХАМАХАМАДА#2957",False,False,1200,"support","1","29","22",False,NULL,9,True,True
